date,amount,amountVirusDiagnosis,positiveAmount,lastUpdate
1999-01-01T00:00:00.000Z,103,103,-1,2020-08-31T07:06:04.153Z
2020-01-26T00:00:00.000Z,3,3,-1,2020-08-31T07:06:04.153Z
2020-01-27T00:00:00.000Z,1,1,-1,2020-08-31T07:06:04.153Z
2020-01-29T00:00:00.000Z,3,3,-1,2020-08-31T07:06:04.153Z
2020-01-30T00:00:00.000Z,4,4,-1,2020-08-31T07:06:04.153Z
2020-02-02T00:00:00.000Z,7,7,-1,2020-08-31T07:06:04.153Z
2020-02-03T00:00:00.000Z,7,7,-1,2020-08-31T07:06:04.153Z
2020-02-04T00:00:00.000Z,6,6,-1,2020-08-31T07:06:04.153Z
2020-02-09T00:00:00.000Z,40,40,-1,2020-08-31T07:06:04.153Z
2020-02-10T00:00:00.000Z,28,28,-1,2020-08-31T07:06:04.153Z
2020-02-11T00:00:00.000Z,50,50,-1,2020-08-31T07:06:04.153Z
2020-02-12T00:00:00.000Z,35,35,0,2020-08-31T07:06:04.153Z
2020-02-13T00:00:00.000Z,35,35,0,2020-08-31T07:06:04.153Z
2020-02-14T00:00:00.000Z,30,30,0,2020-08-31T07:06:04.153Z
2020-02-15T00:00:00.000Z,3,3,0,2020-08-31T07:06:04.153Z
2020-02-16T00:00:00.000Z,23,23,0,2020-08-31T07:06:04.153Z
2020-02-17T00:00:00.000Z,41,41,0,2020-08-31T07:06:04.153Z
2020-02-18T00:00:00.000Z,46,46,0,2020-08-31T07:06:04.153Z
2020-02-19T00:00:00.000Z,34,34,0,2020-08-31T07:06:04.153Z
2020-02-20T00:00:00.000Z,29,29,0,2020-08-31T07:06:04.153Z
2020-02-21T00:00:00.000Z,37,37,1,2020-08-31T07:06:04.153Z
2020-02-22T00:00:00.000Z,13,13,0,2020-08-31T07:06:04.153Z
2020-02-23T00:00:00.000Z,56,56,0,2020-08-31T07:06:04.153Z
2020-02-24T00:00:00.000Z,76,74,1,2020-08-31T07:06:04.153Z
2020-02-25T00:00:00.000Z,108,108,0,2020-08-31T07:06:04.153Z
2020-02-26T00:00:00.000Z,108,108,0,2020-08-31T07:06:04.153Z
2020-02-27T00:00:00.000Z,171,171,1,2020-08-31T07:06:04.153Z
